culture,offer
Dolgan,50
Dolgan,50
Dolgan,50
Dolgan,50
Dolgan,50
Dolgan,50
Dolgan,50
Dolgan,50
Dolgan,50
Dolgan,50
Dolgan,60
Dolgan,60
Isanga,0
Isanga,0
Isanga,0
Isanga,0
Isanga,10
Isanga,10
Isanga,20
Isanga,20
Isanga,20
Isanga,20
Isanga,30
Isanga,30
Isanga,40
Isanga,40
Isanga,40
Isanga,40
Isanga,40
Isanga,50
Isanga,50
Isanga,50
Isanga,50
Isanga,50
Isanga,50
Isanga,50
Isanga,50
Isanga,50
Isanga,50
Isanga,60
Isanga,60
Isanga,60
Shuar,10
Shuar,10
Shuar,10
Shuar,10
Shuar,20
Shuar,20
Shuar,20
Shuar,20
Shuar,20
Shuar,30
Shuar,40
Shuar,40
Shuar,40
Shuar,40
Shuar,50
Shuar,50
Shuar,50
Shuar,50
Shuar,50
Shuar,60
Shuar,80
Yasawa,0
Yasawa,0
Yasawa,0
Yasawa,0
Yasawa,10
Yasawa,10
Yasawa,20
Yasawa,20
Yasawa,20
Yasawa,20
Yasawa,20
Yasawa,20
Yasawa,30
Yasawa,30
Yasawa,30
Yasawa,30
Yasawa,30
Yasawa,30
Yasawa,40
Yasawa,40
Yasawa,40
Yasawa,40
Yasawa,50
Yasawa,50
Yasawa,50
Yasawa,50
Yasawa,50
Yasawa,50
Yasawa,50
Yasawa,50
Yasawa,50
Yasawa,50
Yasawa,60
Yasawa,60
Maragoli,0
Maragoli,0
Maragoli,0
Maragoli,10
Maragoli,10
Maragoli,10
Maragoli,10
Maragoli,10
Maragoli,10
Maragoli,10
Maragoli,20
Maragoli,20
Maragoli,20
Maragoli,20
Maragoli,20
Maragoli,30
Maragoli,30
Maragoli,40
Maragoli,40
Maragoli,40
Maragoli,40
Maragoli,50
Maragoli,50
Maragoli,50
Maragoli,50
Gusii,20
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,30
Gusii,40
Gusii,40
Gusii,40
Gusii,40
Gusii,40
Gusii,40
Gusii,40
Gusii,40
Emory freshmen,0
Emory freshmen,0
Emory freshmen,0
Emory freshmen,0
Emory freshmen,10
Emory freshmen,10
Emory freshmen,20
Emory freshmen,30
Emory freshmen,30
Emory freshmen,40
Emory freshmen,40
Emory freshmen,40
Emory freshmen,40
Emory freshmen,50
Emory freshmen,50
Emory freshmen,50
Emory freshmen,50
Emory freshmen,60
Emory freshmen,70
Tsimane,0
Tsimane,0
Tsimane,10
Tsimane,10
Tsimane,10
Tsimane,10
Tsimane,10
Tsimane,10
Tsimane,10
Tsimane,10
Tsimane,10
Tsimane,20
Tsimane,20
Tsimane,20
Tsimane,20
Tsimane,20
Tsimane,20
Tsimane,20
Tsimane,20
Tsimane,30
Tsimane,30
Tsimane,30
Tsimane,30
Tsimane,40
Tsimane,40
Tsimane,40
Tsimane,40
Tsimane,40
Tsimane,40
Tsimane,40
Tsimane,40
Tsimane,40
Tsimane,40
Tsimane,50
Tsimane,50
Tsimane,50
Tsimane,50
Tsimane,50
Hadza,0
Hadza,0
Hadza,0
Hadza,0
Hadza,0
Hadza,0
Hadza,0
Hadza,0
Hadza,0
Hadza,10
Hadza,10
Hadza,20
Hadza,20
Hadza,20
Hadza,20
Hadza,20
Hadza,20
Hadza,20
Hadza,30
Hadza,30
Hadza,40
Hadza,40
Hadza,40
Hadza,40
Hadza,40
Hadza,50
Hadza,50
Hadza,60
Hadza,60
Hadza,90
Hadza,90
